winery,wine_count,avg_points
Michael David,56,88.14285714285714
Manuel Olivier,64,88.140625
Vina Robles,50,88.14
Terlato,54,88.12962962962963
:Nota Bene,63,88.12698412698413
Torii Mor,71,88.12676056338029
Buena Vista,83,88.06024096385542
Winzer Krems,68,88.05882352941177
Fournier Père et Fils,63,88.04761904761905
Red Newt Cellars,53,88.0377358490566
Recanati,86,88.02325581395348
Torres,52,88.01923076923077
Tasca d'Almerita,68,87.98529411764706
Global Wines,51,87.98039215686275
Schug,72,87.95833333333333
José Maria da Fonseca,59,87.91525423728814
Columbia Crest,159,87.88050314465409
Naggiar,95,87.85263157894737
Pascual Toso,50,87.84
Cortes de Cima,60,87.83333333333333
Foris,50,87.82
Lionel Osmin & Cie,66,87.8030303030303
Valle dell'Acate,53,87.77358490566037
Erath,65,87.76923076923077
Cinnabar,57,87.75438596491227
Martin Ranch,50,87.74
Firestone,59,87.72881355932203
Quinta da Lagoalva de Cima,62,87.70967741935483
Pierre Sparr,52,87.6923076923077
Damiani,62,87.6774193548387
Bacalhôa Wines of Portugal,65,87.67692307692307
Kunde,101,87.67326732673267
Dopff & Irion,64,87.671875
Salentein,54,87.66666666666667
St. Francis,66,87.66666666666667
Montes,117,87.62393162393163
Casca Wines,94,87.61702127659575
Concha y Toro,164,87.60975609756098
Fiuza,56,87.60714285714286
Fox Run,53,87.60377358490567
Sheldrake Point,53,87.60377358490567
Wines & Winemakers,222,87.59909909909909
Three Rivers,73,87.58904109589041
Henry Fessy,54,87.55555555555556
Aveleda,80,87.55
Rock Wall,90,87.53333333333333
Caves Velhas,53,87.50943396226415
14 Hands,67,87.50746268656717
Mercer,77,87.50649350649351
Rancho Sisquoc,54,87.48148148148148
Adelaida,63,87.44444444444444
Eberle,53,87.41509433962264
Cameron Hughes,98,87.40816326530613
Trapiche,113,87.40707964601769
Georges Duboeuf,196,87.40306122448979
Parducci,51,87.3921568627451
Hahn,50,87.36
Keuka Spring,63,87.34920634920636
Luigi Bosca,52,87.34615384615384
Leonard Kreusch,58,87.34482758620689
Airfield Estates,71,87.33802816901408
Lamoreaux Landing,93,87.33333333333333
Ventisquero,51,87.31372549019608
Geyser Peak,56,87.28571428571429
Tommasi,63,87.28571428571429
J. Portugal Ramos,98,87.26530612244898
Casa Santos Lima,113,87.23893805309734
Canoe Ridge,61,87.21311475409836
Santa Carolina,83,87.1566265060241
Robert Hall,57,87.14035087719299
Quinta da Alorna,65,87.13846153846154
Sebastiani,67,87.13432835820896
Viu Manent,58,87.12068965517241
O. Fournier,59,87.11864406779661
Marqués de Cáceres,51,87.11764705882354
Undurraga,113,87.09734513274336
Fenestra,95,87.07368421052631
Adega Cooperativa de Borba,55,87.05454545454545
Atwater,55,87.05454545454545
Sobon Estate,57,87.03508771929825
Waterbrook,89,87.03370786516854
Hogue,81,87.0
Clos La Chance,74,86.97297297297297
San Simeon,54,86.96296296296296
Quinta do Casal Branco,73,86.95890410958904
Caliterra,65,86.93846153846154
Emiliana,55,86.87272727272727
Murphy-Goode,61,86.8688524590164
